environment	method	exit_code	real_seconds	result_json	log
frozen_lake	loopy-vbp	0	1.10	examples/results/frozen_lake__loopy-vbp.json	examples/logs/frozen_lake__loopy-vbp.log
frozen_lake	loopy	0	1.07	examples/results/frozen_lake__loopy.json	examples/logs/frozen_lake__loopy.log
frozen_lake	region-extended	0	1.29	examples/results/frozen_lake__region-extended.json	examples/logs/frozen_lake__region-extended.log
frozen_lake	dyn-channel	0	1.39	examples/results/frozen_lake__dyn-channel.json	examples/logs/frozen_lake__dyn-channel.log
frozen_lake	nuijten	0	1.33	examples/results/frozen_lake__nuijten.json	examples/logs/frozen_lake__nuijten.log
frozen_lake	vbp-channel	0	1.26	examples/results/frozen_lake__vbp-channel.json	examples/logs/frozen_lake__vbp-channel.log
frozen_lake	precise-info-seeking	0	1.30	examples/results/frozen_lake__precise-info-seeking.json	examples/logs/frozen_lake__precise-info-seeking.log
frozen_lake	active-inference	0	1.36	examples/results/frozen_lake__active-inference.json	examples/logs/frozen_lake__active-inference.log
wumpus_world	loopy-vbp	0	1.13	examples/results/wumpus_world__loopy-vbp.json	examples/logs/wumpus_world__loopy-vbp.log
wumpus_world	loopy	0	1.13	examples/results/wumpus_world__loopy.json	examples/logs/wumpus_world__loopy.log
wumpus_world	region-extended	0	1.33	examples/results/wumpus_world__region-extended.json	examples/logs/wumpus_world__region-extended.log
wumpus_world	dyn-channel	0	1.40	examples/results/wumpus_world__dyn-channel.json	examples/logs/wumpus_world__dyn-channel.log
wumpus_world	nuijten	0	1.39	examples/results/wumpus_world__nuijten.json	examples/logs/wumpus_world__nuijten.log
wumpus_world	vbp-channel	0	1.31	examples/results/wumpus_world__vbp-channel.json	examples/logs/wumpus_world__vbp-channel.log
wumpus_world	precise-info-seeking	0	1.36	examples/results/wumpus_world__precise-info-seeking.json	examples/logs/wumpus_world__precise-info-seeking.log
wumpus_world	active-inference	0	1.36	examples/results/wumpus_world__active-inference.json	examples/logs/wumpus_world__active-inference.log
rocksample	loopy-vbp	0	1.47	examples/results/rocksample__loopy-vbp.json	examples/logs/rocksample__loopy-vbp.log
rocksample	loopy	0	1.07	examples/results/rocksample__loopy.json	examples/logs/rocksample__loopy.log
rocksample	region-extended	0	1.41	examples/results/rocksample__region-extended.json	examples/logs/rocksample__region-extended.log
rocksample	dyn-channel	0	1.44	examples/results/rocksample__dyn-channel.json	examples/logs/rocksample__dyn-channel.log
rocksample	nuijten	0	1.43	examples/results/rocksample__nuijten.json	examples/logs/rocksample__nuijten.log
rocksample	vbp-channel	0	1.41	examples/results/rocksample__vbp-channel.json	examples/logs/rocksample__vbp-channel.log
rocksample	precise-info-seeking	0	1.42	examples/results/rocksample__precise-info-seeking.json	examples/logs/rocksample__precise-info-seeking.log
rocksample	active-inference	0	1.44	examples/results/rocksample__active-inference.json	examples/logs/rocksample__active-inference.log
minigrid	loopy-vbp	0	1.08	examples/results/minigrid__loopy-vbp.json	examples/logs/minigrid__loopy-vbp.log
minigrid	loopy	0	1.02	examples/results/minigrid__loopy.json	examples/logs/minigrid__loopy.log
minigrid	region-extended	0	1.38	examples/results/minigrid__region-extended.json	examples/logs/minigrid__region-extended.log
minigrid	dyn-channel	0	1.39	examples/results/minigrid__dyn-channel.json	examples/logs/minigrid__dyn-channel.log
minigrid	nuijten	0	1.45	examples/results/minigrid__nuijten.json	examples/logs/minigrid__nuijten.log
minigrid	vbp-channel	0	1.49	examples/results/minigrid__vbp-channel.json	examples/logs/minigrid__vbp-channel.log
minigrid	precise-info-seeking	0	1.69	examples/results/minigrid__precise-info-seeking.json	examples/logs/minigrid__precise-info-seeking.log
minigrid	active-inference	0	2.42	examples/results/minigrid__active-inference.json	examples/logs/minigrid__active-inference.log
